conversation_id,message_id,role,content,tool_calls,tool_call_id
1,05fec0d6-36a9-4c04-ae80-0e0602d62c9c,system,"[{'type': 'text', 'text': 'You are a helpful assistant. You are here to help with orders data and products data. '}]",,
1,ccafe875-c429-4741-b538-962f6e4a2fd3,user,"[{'type': 'text', 'text': 'my name is drew'}]",,
1,4dee5e69-44f5-4692-930f-a5157a022081,assistant,"[{'type': 'text', 'text': 'Hello Drew! How can I assist you today?'}]",,
1,803253b7-35ba-4c33-8fe2-1823323e88b7,user,"[{'type': 'text', 'text': 'get my orders'}]",,
1,7138a566-12bb-4098-ae74-1c23c9ba4ed8,assistant,"[{'type': 'text', 'text': 'Could you please provide me with your customer ID so I can fetch your orders for you?'}]",,
1,adaffb0f-10e6-41bb-a628-84a4e6a85144,user,"[{'type': 'text', 'text': '37077'}]",,
1,7f133a02-74af-4282-84b3-49d6ea7b9ba5,assistant,"[{'type': 'text', 'text': None}]","[{""id"": ""call_m2P7qx5FBlDGCILA9wxYZHNu"", ""function"": {""arguments"": ""{\""customer_id\"":\""37077\""}"", ""name"": ""get_orders_by_customer_id""}, ""type"": ""function""}]",
1,e254981d-dc14-4d41-bbf4-a7e21f4bfa18,tool,"{""tool_name"": ""get_orders_by_customer_id"", ""arguments"": {""customer_id"": ""37077""}, ""response"": [{""Order_Date"": ""2018-01-02"", ""Time"": ""10:56:33"", ""Aging"": 8.0, ""Customer_Id"": 37077, ""Gender"": ""Female"", ""Device_Type"": ""Web"", ""Customer_Login_type"": ""Member"", ""Product_Category"": ""Auto & Accessories"", ""Product"": ""Car Media Players"", ""Sales"": 140.0, ""Quantity"": 1.0, ""Discount"": 0.3, ""Profit"": 46.0, ""Shipping_Cost"": 4.6, ""Order_Priority"": ""Medium"", ""Payment_method"": ""credit_card""}]}",,call_m2P7qx5FBlDGCILA9wxYZHNu
1,c2316b55-7ba7-44e1-b6d6-66ead5b343c7,assistant,"[{'type': 'text', 'text': 'Here is the order information for your customer ID 37077:\n\n- **Order Date:** January 2, 2018\n- **Time:** 10:56:33\n- **Aging:** 8.0\n- **Gender:** Female\n- **Device Type:** Web\n- **Customer Login Type:** Member\n- **Product Category:** Auto & Accessories\n- **Product:** Car Media Players\n- **Sales:** $140.00\n- **Quantity:** 1\n- **Discount:** 30%\n- **Profit:** $46.00\n- **Shipping Cost:** $4.60\n- **Order Priority:** Medium\n- **Payment Method:** Credit Card\n\nPlease let me know if you need any further information!'}]",,
1,5ead1c90-c891-4d5f-848a-1de3d05c4d79,user,"[{'type': 'text', 'text': 'whats my name again?'}]",,
1,bd4b9430-28ee-4f7a-830f-c7189c0c5c2e,assistant,"[{'type': 'text', 'text': 'Your name is Drew.'}]",,
